Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"EC Legacy Regression Testing, OPSUI(eSOA Enhancement)",Chrome 129.0.0.0,,,15-10-2024 10:05:11,15-10-2024 10:06:01,49.610s,PASSED
,,,,,,,
Test Cases/EasyClaimLegacyLoginAndHospitalAndUser,Chrome 129.0.0.0,,,15-10-2024 10:05:11,15-10-2024 10:05:35,24.187s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,15-10-2024 10:05:11,15-10-2024 10:05:13,1.694s,PASSED
"navigateToUrl(""http://172.30.1.26/OPSUI.EasyClaims.Legacy/Account/Login?ReturnUrl=%2FOPSUI.EasyClaims.Legacy%2F"")",Chrome 129.0.0.0,,,15-10-2024 10:05:13,15-10-2024 10:05:15,2.083s,PASSED
maximizeWindow(),Chrome 129.0.0.0,,,15-10-2024 10:05:15,15-10-2024 10:05:15,0.067s,PASSED
"setText(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/input_Username_Username""), ""patche@admin"")",Chrome 129.0.0.0,,,15-10-2024 10:05:15,15-10-2024 10:05:16,0.754s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/input_Password_Password""), ""nwr9I1qT+J0GbQ++JlYjHw=="")",Chrome 129.0.0.0,,,15-10-2024 10:05:16,15-10-2024 10:05:16,0.333s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/input_Password_Password""), Keys.chord(ENTER))",Chrome 129.0.0.0,,,15-10-2024 10:05:16,15-10-2024 10:05:17,0.468s,PASSED
"click(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/Page_Connect - Easy Claims/span_Control Panel""))",Chrome 129.0.0.0,,,15-10-2024 10:05:17,15-10-2024 10:05:20,3.001s,PASSED
"navigateToUrl(""http://172.30.1.26/OPSUI.EasyClaims.Legacy/ControlPanel"")",Chrome 129.0.0.0,,,15-10-2024 10:05:20,15-10-2024 10:05:20,0.471s,PASSED
"click(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/Page_Control Panel - Easy Claims/span_Hospital Information (offline mode)""))",Chrome 129.0.0.0,,,15-10-2024 10:05:20,15-10-2024 10:05:22,2.047s,PASSED
"click(findTestObject(""Object Repository/Page_Login, User, Hospital - Easy Claims/Page_Control Panel - Easy Claims/input_b1 l1 bf homes, exchange 05 PAGPARTIA_a9fde9""))",Chrome 129.0.0.0,,,15-10-2024 10:05:22,15-10-2024 10:05:23,0.276s,PASSED
