Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"EC Legacy Regression Testing, OPSUI(eSOA)",Chrome 129.0.0.0,,,01-10-2024 18:08:46,01-10-2024 18:09:08,21.332s,PASSED
,,,,,,,
Test Cases/EasyClaimLegacyLoginAndHospitalAndUser,Chrome 129.0.0.0,,,01-10-2024 18:08:47,01-10-2024 18:09:08,21.177s,PASSED
"openBrowser("""")",Chrome 129.0.0.0,,,01-10-2024 18:08:47,01-10-2024 18:08:48,1.463s,PASSED
"navigateToUrl(""http://172.30.1.26/OPSUI.EasyClaims.Legacy/Account/Login?ReturnUrl=%2FOPSUI.EasyClaims.Legacy%2F"")",Chrome 129.0.0.0,,,01-10-2024 18:08:48,01-10-2024 18:08:49,1.050s,PASSED
maximizeWindow(),Chrome 129.0.0.0,,,01-10-2024 18:08:49,01-10-2024 18:08:49,0.049s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - Easy Claims/input_Username_Username""), ""admin"")",Chrome 129.0.0.0,,,01-10-2024 18:08:49,01-10-2024 18:08:50,0.752s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - Easy Claims/input_Password_Password""), ""iFGeFYmXIrUhQZHvW7P22w=="")",Chrome 129.0.0.0,,,01-10-2024 18:08:50,01-10-2024 18:08:50,0.338s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Login - Easy Claims/input_Password_Password""), Keys.chord(ENTER))",Chrome 129.0.0.0,,,01-10-2024 18:08:50,01-10-2024 18:08:51,0.427s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Easy Claims/Page_Connect - Easy Claims/span_Control Panel""))",Chrome 129.0.0.0,,,01-10-2024 18:08:51,01-10-2024 18:08:54,2.748s,PASSED
"navigateToUrl(""http://172.30.1.26/OPSUI.EasyClaims.Legacy/ControlPanel"")",Chrome 129.0.0.0,,,01-10-2024 18:08:54,01-10-2024 18:08:54,0.326s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Easy Claims/Page_Control Panel - Easy Claims/span_Hospital Information (offline mode)""))",Chrome 129.0.0.0,,,01-10-2024 18:08:54,01-10-2024 18:08:56,1.567s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Easy Claims/Page_Control Panel - Easy Claims/input_b1 l1 bf homes, exchange 05 PAGPARTIA_a9fde9""))",Chrome 129.0.0.0,,,01-10-2024 18:08:56,01-10-2024 18:08:56,0.273s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - Easy Claims/Page_Control Panel - Easy Claims/input_Username_ConnectUserName""), ""CAR_SPCH_JCT_001"")",Chrome 129.0.0.0,,,01-10-2024 18:08:56,01-10-2024 18:08:57,0.861s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - Easy Claims/Page_Control Panel - Easy Claims/input_Password_ConnectPassword""), ""P22/mDurbpKTCUGWnKJ+/Q=="")",Chrome 129.0.0.0,,,01-10-2024 18:08:57,01-10-2024 18:08:57,0.309s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Easy Claims/Page_Control Panel - Easy Claims/input_Password_k-button k-primary""))",Chrome 129.0.0.0,,,01-10-2024 18:08:57,01-10-2024 18:08:57,0.298s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Easy Claims/Page_Control Panel - Easy Claims/div_Hospital Code                          _698c28""))",Chrome 129.0.0.0,,,01-10-2024 18:08:57,01-10-2024 18:09:00,3.075s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - Easy Claims/Page_Control Panel - Easy Claims/input_Hospital Email_Hospital.HospitalEmail""), ""peter@gmail.com"")",Chrome 129.0.0.0,,,01-10-2024 18:09:00,01-10-2024 18:09:01,0.557s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Easy Claims/Page_Control Panel - Easy Claims/div_Hospital Code                          _698c28""))",Chrome 129.0.0.0,,,01-10-2024 18:09:01,01-10-2024 18:09:01,0.269s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Easy Claims/Page_Control Panel - Easy Claims/li""))",Chrome 129.0.0.0,,,01-10-2024 18:09:01,01-10-2024 18:09:02,0.318s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Easy Claims/Page_Control Panel - Easy Claims/span_User Management""))",Chrome 129.0.0.0,,,01-10-2024 18:09:02,01-10-2024 18:09:02,0.826s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Easy Claims/Page_Control Panel - Easy Claims/input_samplegmail.com_addUserBtn""))",Chrome 129.0.0.0,,,01-10-2024 18:09:02,01-10-2024 18:09:03,0.334s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Easy Claims/Page_Control Panel - Easy Claims/span_SELECT ONE_k-icon k-i-arrow-60-down""))",Chrome 129.0.0.0,,,01-10-2024 18:09:03,01-10-2024 18:09:03,0.650s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Easy Claims/Page_Control Panel - Easy Claims/li_St. Peter Claver Hospital""))",Chrome 129.0.0.0,,,01-10-2024 18:09:03,01-10-2024 18:09:04,0.501s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - Easy Claims/Page_Control Panel - Easy Claims/input_Username_Username""), ""patcheadmin3"")",Chrome 129.0.0.0,,,01-10-2024 18:09:04,01-10-2024 18:09:05,0.760s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - Easy Claims/Page_Control Panel - Easy Claims/input_Password_Password""), ""nwr9I1qT+J0GbQ++JlYjHw=="")",Chrome 129.0.0.0,,,01-10-2024 18:09:05,01-10-2024 18:09:05,0.303s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login - Easy Claims/Page_Control Panel - Easy Claims/input_Confirm password_ConfirmPassword""), ""nwr9I1qT+J0GbQ++JlYjHw=="")",Chrome 129.0.0.0,,,01-10-2024 18:09:05,01-10-2024 18:09:05,0.297s,PASSED
"setText(findTestObject(""Object Repository/Page_Login - Easy Claims/Page_Control Panel - Easy Claims/input_Email_Email""), ""sample@gmail.com"")",Chrome 129.0.0.0,,,01-10-2024 18:09:05,01-10-2024 18:09:06,0.535s,PASSED
"click(findTestObject(""Object Repository/Page_Login - Easy Claims/Page_Control Panel - Easy Claims/input_Roles_k-input k-readonly""))",Chrome 129.0.0.0,,,01-10-2024 18:09:06,01-10-2024 18:09:06,0.302s,PASSED
"sendKeys(findTestObject(""Object Repository/Page_Login - Easy Claims/Page_Control Panel - Easy Claims/input_Roles_k-input k-readonly""), Keys.chord(ENTER))",Chrome 129.0.0.0,,,01-10-2024 18:09:06,01-10-2024 18:09:06,0.464s,PASSED
